sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceSource	referenceDoi	referenceCitation
EOL:3203538	Varroa	RO:0002444	parasite of	EOL:2754886	Apis cerana	GEONAMES:2017623	Primorsky Krai, Russia				E. Crane The Varroa mite Bee world, 59 (1978), p. 164	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:3203538	Varroa	RO:0002444	parasite of	EOL:1045608	Apis mellifera	GEONAMES:2017623	Primorsky Krai, Russia				E. Crane The Varroa mite Bee world, 59 (1978), p. 164	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:12144841	Apicystis bombi	RO:0002444	parasite of		Bombus						B. Sachman-Ruiz, V. Narváez-Padilla, E. Reynaud Commercial Bombus impatiens as reservoirs of emerging infectious diseases in central México Biol. Invasions, 17 (2015), pp. 2043-2053, 10.1007/s10530-015-0859-6	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:541258	black queen cell virus 	RO:0002444	parasite of		Bombus						B. Sachman-Ruiz, V. Narváez-Padilla, E. Reynaud Commercial Bombus impatiens as reservoirs of emerging infectious diseases in central México Biol. Invasions, 17 (2015), pp. 2043-2053, 10.1007/s10530-015-0859-6	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:6831817	Chronic bee paralysis virus	RO:0002444	parasite of		Bombus						B. Sachman-Ruiz, V. Narváez-Padilla, E. Reynaud Commercial Bombus impatiens as reservoirs of emerging infectious diseases in central México Biol. Invasions, 17 (2015), pp. 2043-2053, 10.1007/s10530-015-0859-6	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:8613091	deformed wing virus	RO:0002444	parasite of	EOL:1065209	Bombus pascuorum	GEONAMES:2921044	Germany			2004	E. Genersch, C. Yue, I. Fries, J.R. De Miranda Detection of deformed wing virus, a honey bee viral pathogen, in bumble bees (Bombus terrestris and Bombus pascuorum) with wing deformities J. Invertebr. Pathol., 91 (2006), pp. 61-63, 10.1016/j.jip.2005.10.002	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:8613091	deformed wing virus	RO:0002444	parasite of	EOL:1065209	Bombus pascuorum	GEONAMES:6269131	England			2007/2008	S.E.F. Evison, K.E. Roberts, L. Laurenson, S. Pietravalle, J. Hui, J.C. Biesmeijer, J.E. Smith, G. Budge, W.O.H. Hughes Pervasiveness of parasites in pollinators PLoS One, 7 (2012), p. e30641, 10.1371/journal.pone.0030641	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:8613091	deformed wing virus	RO:0002444	parasite of	EOL:1177347	Bombus terrestris	GEONAMES:6269131	England			2007/2008	S.E.F. Evison, K.E. Roberts, L. Laurenson, S. Pietravalle, J. Hui, J.C. Biesmeijer, J.E. Smith, G. Budge, W.O.H. Hughes Pervasiveness of parasites in pollinators PLoS One, 7 (2012), p. e30641, 10.1371/journal.pone.0030641	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:8613091	deformed wing virus	RO:0002444	parasite of	EOL:1032844	Vespula vulgaris	GEONAMES:6269131	England			2007/2008	S.E.F. Evison, K.E. Roberts, L. Laurenson, S. Pietravalle, J. Hui, J.C. Biesmeijer, J.E. Smith, G. Budge, W.O.H. Hughes Pervasiveness of parasites in pollinators PLoS One, 7 (2012), p. e30641, 10.1371/journal.pone.0030641	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:8613091	deformed wing virus 	RO:0002444	parasite of	EOL:104136	Bombus						B. Sachman-Ruiz, V. Narváez-Padilla, E. Reynaud Commercial Bombus impatiens as reservoirs of emerging infectious diseases in central México Biol. Invasions, 17 (2015), pp. 2043-2053, 10.1007/s10530-015-0859-6	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
